;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
1215;0.73;-1.0;-1.0;0.85;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;aluno3243;1
1216;-1.0;0.6599999999999999;-1.0;-1.0;0.8;-1.0;-1.0;0.8800000000000001;0.6900000000000001;-1.0;-1.0;0.79;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;aluno3243;2
1217;-1.0;-1.0;0.89;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6799999999999999;0.75;aluno3243;3
1218;0.96;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;aluno3255;1
1219;-1.0;0.97;-1.0;-1.0;0.9;-1.0;-1.0;0.9199999999999999;0.6599999999999999;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3255;2
1220;-1.0;-1.0;1.0;-1.0;-1.0;0.79;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;0.8;aluno3255;3
1221;0.72;-1.0;-1.0;0.78;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;aluno3264;1
1222;-1.0;0.72;-1.0;-1.0;0.55;-1.0;-1.0;0.78;0.7;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3264;2
1223;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.7;aluno3264;3
1224;0.77;-1.0;-1.0;0.51;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;aluno3267;1
1225;-1.0;0.72;-1.0;-1.0;0.62;-1.0;-1.0;0.9400000000000001;0.72;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3267;2
1226;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.86;0.75;aluno3267;3
1227;0.79;-1.0;-1.0;0.43;-1.0;-1.0;0.85;-1.0;0.44000000000000006;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;aluno327;1
1228;-1.0;0.58;-1.0;0.52;-1.0;-1.0;-1.0;0.0;0.6599999999999999;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno327;2
1229;-1.0;-1.0;0.6799999999999999;-1.0;-1.0;0.5700000000000001;-1.0;-1.0;-1.0;0.08;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6799999999999999;0.6;aluno327;3
1230;0.53;-1.0;-1.0;0.62;-1.0;-1.0;0.78;-1.0;0.5700000000000001;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;aluno329;1
1231;-1.0;0.5;-1.0;-1.0;0.58;-1.0;-1.0;0.9;-1.0;0.6799999999999999;-1.0;0.75;-1.0;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno329;2
1232;-1.0;-1.0;0.55;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;0.6799999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.52;0.6799999999999999;aluno329;3
